timestamp,open,high,low,close,volume,return,ma7,ma30,lag1,lag2,lag3,volatility
2012-01-30,5.456833333333334,5.456833333333334,5.456833333333334,5.456833333333334,0.015541666666666665,-0.018526961081266058,5.930301587301587,6.251111436399153,5.559840277777778,5.2764444444444445,5.854409722222223,0.5284896356523165
2012-01-31,5.662076388888889,5.6622916666666665,5.661708333333333,5.6622916666666665,0.07272106481944444,0.03765156836993366,5.810578373015874,6.284997916666667,5.456833333333334,5.559840277777778,5.2764444444444445,0.4694574187288174
2012-02-01,5.441034722222223,5.441034722222223,5.441027777777777,5.441027777777777,0.009411420652777778,-0.03907673816794832,5.645846230158731,6.300532175925926,5.6622916666666665,5.456833333333334,5.559840277777778,0.33039462526092994
2012-02-02,6.038305555555556,6.038645833333333,6.038222222222223,6.038569444444445,0.08582127613194444,0.10982146959571581,5.6127738095238096,6.332301157407408,5.441027777777777,5.6622916666666665,5.456833333333334,0.26200362189987464
2012-02-03,6.175541666666667,6.175541666666667,6.175354166666667,6.175354166666667,0.19679312925,0.022651842208764483,5.658623015873016,6.365799768518518,6.038569444444445,5.441027777777777,5.6622916666666665,0.3304716536531131
2012-02-04,6.308659722222222,6.308673611111111,6.308659722222222,6.308673611111111,0.0470104125625,0.021588955199375537,5.806084325396825,6.377610185185185,6.175354166666667,6.038569444444445,5.441027777777777,0.36045354173000255
2012-02-05,5.928833333333333,5.928833333333333,5.928826388888889,5.928826388888889,0.03462964175,-0.06021031450307057,5.858796626984128,6.354559953703704,6.308673611111111,6.175354166666667,6.038569444444445,0.34509416842032137
2012-02-06,5.561861111111111,5.561861111111111,5.561861111111111,5.561861111111111,0.018306998729166666,-0.061895095876900896,5.8738005952380945,6.338362731481482,5.928826388888889,6.308673611111111,6.175354166666667,0.3264864183410228
2012-02-07,5.664152777777778,5.664152777777778,5.664152777777778,5.664152777777778,0.1051560733263889,0.0183916255050518,5.874066468253969,6.299853009259261,5.561861111111111,5.928826388888889,6.308673611111111,0.3262861662835537
2012-02-08,5.690083333333334,5.690083333333334,5.690083333333334,5.690083333333334,0.04025093523611111,0.004578011323651099,5.909645833333333,6.262307407407407,5.664152777777778,5.561861111111111,5.928826388888889,0.28173333189319505
2012-02-09,5.787506944444445,5.787513888888889,5.787506944444445,5.787513888888889,0.07097188218055556,0.01712286970997301,5.873780753968254,6.2423671296296295,5.690083333333334,5.664152777777778,5.561861111111111,0.2785476645999913
2012-02-10,5.882923611111111,5.882923611111111,5.882923611111111,5.882923611111111,0.14092050618055554,0.016485441599612072,5.832004960317461,6.2041201388888885,5.787513888888889,5.690083333333334,5.664152777777778,0.245782206695531
2012-02-11,5.722895833333333,5.722895833333333,5.722895833333333,5.722895833333333,0.001305199861111111,-0.02720208324234097,5.748322420634921,6.1622416666666675,5.882923611111111,5.787513888888889,5.690083333333334,0.1278839223518157
2012-02-12,5.53925,5.53925,5.53925,5.53925,0.02402777777777778,-0.032089669055948455,5.69266865079365,6.123312731481481,5.722895833333333,5.882923611111111,5.787513888888889,0.12081251687940117
